                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.022,                 5.1124,                  1.057,                      0,                      0,                      0,                      0,                  1.064,                  4.537,                 1.0082,             5.6838e-05,             5.6838e-05,             5.6838e-05
                      2,                 1.0058,                 4.3001,                 1.0177,                 0.0215,                0.35819,                0.06323,                0.05122,                 1.0886,                 3.6396,                 1.0408,             0.00010947,             0.00010947,             0.00010947
                      3,                 1.0232,                 3.5802,                 1.0594,                0.74757,                0.10432,                0.11412,                0.08622,                 1.0863,                 2.6666,                 1.0681,             0.00015633,             0.00015633,             0.00015633
                      4,                 1.0199,                 3.1627,                 1.0368,                0.77149,                0.12872,                0.15059,                0.10891,                 1.1085,                 2.3049,                 1.0866,             0.00014901,             0.00014901,             0.00014901
                      5,                 1.0079,                  2.829,                 1.0401,                0.74838,                0.19671,                0.19602,                0.14087,                 1.1017,                 2.0709,                 1.0875,             0.00014901,             0.00014901,             0.00014901
                      6,                0.99247,                 2.6125,                 1.0228,                0.82457,                0.21331,                0.24745,                0.17808,                 1.1005,                 1.8788,                 1.0915,             0.00014035,             0.00014035,             0.00014035
                      7,                0.97396,                 2.4574,                  1.019,                0.77668,                0.23989,                0.28158,                0.20282,                 1.0873,                 1.7406,                 1.0844,             0.00013169,             0.00013169,             0.00013169
                      8,                0.98031,                 2.2919,                 1.0155,                0.74839,                0.28352,                0.31005,                0.22546,                  1.072,                 1.6204,                 1.0653,             0.00012302,             0.00012302,             0.00012302
                      9,                0.95846,                 2.1716,                  1.006,                0.77182,                0.27298,                0.34566,                0.25344,                 1.0657,                 1.5275,                 1.0693,             0.00011436,             0.00011436,             0.00011436
                     10,                0.94611,                 2.0396,                 1.0038,                0.55885,                0.36684,                 0.3763,                 0.2764,                 1.0527,                 1.4556,                 1.0509,              0.0001057,              0.0001057,              0.0001057
                     11,                 0.9414,                 1.9668,                 0.9921,                0.71173,                 0.3736,                 0.4225,                0.31626,                 1.0408,                 1.3739,                  1.046,             9.7037e-05,             9.7037e-05,             9.7037e-05
                     12,                0.93168,                  1.865,                0.98455,                0.65969,                0.41806,                0.45237,                0.33331,                 1.0579,                 1.3245,                 1.0596,             8.8375e-05,             8.8375e-05,             8.8375e-05
                     13,                0.92521,                 1.8203,                0.99141,                0.57918,                0.45255,                0.44966,                0.33541,                 1.0545,                 1.3124,                 1.0496,             7.9712e-05,             7.9712e-05,             7.9712e-05
                     14,                0.92243,                 1.7637,                 0.9854,                0.64312,                0.44806,                 0.4734,                0.35135,                 1.0477,                 1.2567,                 1.0496,              7.105e-05,              7.105e-05,              7.105e-05
                     15,                0.90207,                  1.719,                0.97332,                0.67162,                0.48592,                0.49822,                0.37307,                 1.0373,                 1.2572,                 1.0488,             6.2387e-05,             6.2387e-05,             6.2387e-05
                     16,                0.90899,                 1.6882,                 0.9838,                0.62882,                0.48032,                0.52046,                  0.391,                 1.0365,                 1.2362,                 1.0474,             5.3725e-05,             5.3725e-05,             5.3725e-05
                     17,                0.88883,                 1.6456,                0.97439,                0.74246,                0.44637,                  0.532,                0.39796,                 1.0326,                 1.2038,                 1.0446,             4.5062e-05,             4.5062e-05,             4.5062e-05
                     18,                0.89857,                 1.6011,                 0.9741,                0.72222,                0.47122,                 0.5264,                0.39305,                 1.0303,                 1.1951,                 1.0432,               3.64e-05,               3.64e-05,               3.64e-05
                     19,                0.88878,                 1.5816,                0.97073,                0.69942,                0.49964,                0.53013,                0.39714,                 1.0347,                 1.1741,                 1.0469,             2.7738e-05,             2.7738e-05,             2.7738e-05
                     20,                0.89196,                 1.6168,                0.98597,                0.59913,                0.55084,                0.54533,                0.41063,                 1.0291,                 1.1732,                 1.0416,             1.9075e-05,             1.9075e-05,             1.9075e-05
